PSNR,SSIM,MSE,RMSE,UQI,FSIM,GMSD,VIF,BRISQUE,NIQE,PIQE,LPIPS,Entropy_Before,Entropy_After,Contrast_Before,Contrast_After,Sharpness_Before,Sharpness_After,EdgeStrength_Before,EdgeStrength_After,NoiseLevel_Before,NoiseLevel_After,Dataset,Patient_ID,Modality,Processing_Time_Sec
13.943235952576874,0.7096800228082915,0.04033447429537773,0.20083444499233127,0.7934643030166626,0.7865250706672668,0.0014019778463989496,0.7344257831573486,3.5909228324890137,5.420989513397217,25.453205108642578,0.21585765480995178,7.22435247864442,7.756271939464754,0.18904204666614532,0.25132787227630615,0.13043594360351562,0.3898222744464874,0.22871480882167816,0.410778671503067,0.050061143934726715,0.08824877440929413,Spine,SP2,S82020_eT1W_TSE_CLEAR_20260303133117_702_i00001,2.409
15.358343825037753,0.7935203117988694,0.02911827526986599,0.17064077844954292,0.8418938517570496,0.8504151701927185,0.0009260872029699385,0.661637544631958,3.4068922996520996,5.27982759475708,26.325504302978516,0.17556241154670715,7.511731509126418,7.7615699756524394,0.21108660101890564,0.26741349697113037,0.1619938164949417,0.34825384616851807,0.2627052664756775,0.39427265524864197,0.08146041631698608,0.08171699941158295,Spine,SP2,S82020_eT1W_TSE_CLEAR_20260303133117_702_i00004,2.368
14.510004535450932,0.7437216577943744,0.035399697721004486,0.18814807392318553,0.8069395422935486,0.8192095756530762,0.0010807974031195045,0.6505733132362366,3.663145065307617,5.555178642272949,24.615903854370117,0.2004687339067459,7.435015245939941,7.782319118083499,0.2062073051929474,0.26513370871543884,0.18201133608818054,0.4051210880279541,0.2637822926044464,0.42254969477653503,0.06895718723535538,0.08789995312690735,Spine,SP2,S82020_eT1W_TSE_CLEAR_20260303133117_702_i00008,2.609
15.062010045107952,0.7308821054303268,0.031174462288618088,0.1765629131177272,0.7894261479377747,0.8091062903404236,0.001096916850656271,0.6810831427574158,3.589934825897217,5.117822647094727,25.487319946289062,0.18810543417930603,7.004062719044776,7.562414725238966,0.17542685568332672,0.24514839053153992,0.16294096410274506,0.3645954430103302,0.2374369353055954,0.3891761302947998,0.011168207973241806,0.011719997972249985,Spine,SP2,S82020_eT1W_TSE_CLEAR_20260303133117_702_i00015,1.83
13.622401031215519,0.6911814324996751,0.0434270054101944,0.20839147153901091,0.7486086487770081,0.7860891222953796,0.0011248766677454114,0.7190197706222534,3.694074869155884,5.341254711151123,25.024335861206055,0.2115481197834015,7.207190768589795,7.779701444415765,0.1864890158176422,0.25845852494239807,0.15374112129211426,0.38195163011550903,0.23060081899166107,0.4047614634037018,0.04869319498538971,0.08203998953104019,Spine,SP2,S82020_eT1W_TSE_CLEAR_20260303133117_702_i00012,2.457
14.52977069984935,0.7107674714082841,0.035238947719335556,0.18772039771781743,0.7568415403366089,0.7939994931221008,0.0012423491571098566,0.7190237641334534,3.920898675918579,5.018890380859375,24.330612182617188,0.19203251600265503,6.793476165309798,7.505797600284877,0.1752127707004547,0.23887446522712708,0.16570493578910828,0.38398027420043945,0.2262667566537857,0.3820701837539673,0.008290287107229233,0.0,Spine,SP2,S82020_eT1W_TSE_CLEAR_20260303133117_702_i00018,1.38
14.809564085210203,0.7671664975629274,0.03304027020931244,0.18176982755482946,0.8630236387252808,0.8713595271110535,0.0008209156221710145,0.6534969806671143,3.8036577701568604,5.834694862365723,23.68475914001465,0.18649032711982727,7.413549585505743,7.802323389905358,0.24065472185611725,0.306178480386734,0.22924423217773438,0.4287829101085663,0.29939478635787964,0.4303690493106842,0.0244829673320055,0.04085849970579147,Spine,SP2,S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00008,1.923
16.88343307732145,0.8205203321686447,0.02049541287124157,0.14316219078807635,0.9154548048973083,0.897857129573822,0.0006468762294389307,0.6562103033065796,3.5094552040100098,5.550399303436279,25.548006057739258,0.15294474363327026,7.480381694579786,7.747410135380318,0.26419880986213684,0.30936941504478455,0.2148352712392807,0.37398529052734375,0.2989557385444641,0.40034767985343933,0.02556171640753746,0.04085849970579147,Spine,SP2,S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00001,1.96
19.74143507699474,0.8001851812974589,0.010613447986543179,0.10302158990494749,0.8965833783149719,0.8647801280021667,0.0003498665173538029,1.0235179662704468,1.6442617177963257,3.0632221698760986,47.42151641845703,0.08857899904251099,6.163746206198555,6.680034777003892,0.17634767293930054,0.2300429791212082,0.044008754193782806,0.09471438080072403,0.12898050248622894,0.19129885733127594,0.18753008544445038,0.0,Spine,SP2,S82020_eeSTIR_TSE_COR_20260303133117_302,4.532
16.79598359106424,0.8159406282216435,0.0209122933447361,0.144610834119495,0.9221972227096558,0.89371258020401,0.0007126832497306168,0.6364466547966003,3.5883097648620605,5.685230255126953,24.815814971923828,0.15813657641410828,7.453478992965577,7.758282338390687,0.26583051681518555,0.31746992468833923,0.2220950722694397,0.37840843200683594,0.30826178193092346,0.40978410840034485,0.029474740847945213,0.046695418655872345,Spine,SP2,S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00004,2.315
14.9666823913911,0.7410518208988104,0.03186630830168724,0.17851136742988452,0.839783787727356,0.8647466897964478,0.0007589430897496641,0.6698814630508423,3.64943790435791,5.471140384674072,25.317588806152344,0.18053601682186127,7.3012335204833825,7.780971044917158,0.2202010154724121,0.2932635247707367,0.2005963772535324,0.3937934339046478,0.2705162763595581,0.4004751145839691,0.02010277472436428,0.04085849970579147,Spine,SP2,S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00012,1.792
13.516624472622272,0.6817496677111193,0.044497694820165634,0.21094476722631836,0.7486070394515991,0.8192732930183411,0.0010989640140905976,0.721468985080719,3.8807499408721924,5.70136022567749,23.659088134765625,0.21472309529781342,7.069936036309937,7.710363941949818,0.18030497431755066,0.2849215269088745,0.1740657240152359,0.43007758259773254,0.2548663318157196,0.42767438292503357,0.007082387339323759,0.01167385559529066,Spine,SP2,S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00015,1.839
13.20398811600607,0.6598482957720385,0.04781907796859741,0.2186757370368222,0.7044950723648071,0.7984327673912048,0.0013112303568050265,0.7790389657020569,3.8946573734283447,5.432709693908691,24.311325073242188,0.21819835901260376,6.94891550158535,7.596485695594784,0.16397252678871155,0.26957622170448303,0.1492469757795334,0.4181593060493469,0.22911806404590607,0.4084773063659668,0.004744254518300295,0.0,Spine,SP2,S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00018,1.881
20.65230122599435,0.8638787085708276,0.00860537588596344,0.09276516526133849,0.9335825443267822,0.8793689012527466,0.0006815390079282224,0.721148669719696,2.3919365406036377,3.5084235668182373,42.92160415649414,0.0764385461807251,4.6793747953598075,4.964901725385813,0.21872425079345703,0.29947322607040405,0.09814630448818207,0.18916913866996765,0.14650070667266846,0.20234926044940948,0.24049441516399384,0.0,Spine,SP2,S82020_T1W_TSE_sag_20260303133117_501,2.374
17.06645527688606,0.610566970601093,0.019649634137749672,0.140177152695258,0.7982279062271118,0.8475794196128845,0.0004451062995940447,1.0813331604003906,1.302382230758667,2.822629451751709,60.711143493652344,0.08162196725606918,4.59420286341817,4.971101148164598,0.1875109225511551,0.28606975078582764,0.03709999471902847,0.08571112155914307,0.09101583808660507,0.13922831416130066,0.1894073784351349,0.0,Spine,SP2,S82020_eT2W_TSE_CLEAR_20260303133117_402,5.096
17.40278446992267,0.5465976882782326,0.018185347318649292,0.13485305824729854,0.814932644367218,0.805057168006897,0.00045623883488588035,0.9806744456291199,1.6379762887954712,2.861668348312378,55.782352447509766,0.10077685862779617,4.913078860330986,5.408975911554426,0.1565946489572525,0.2709032893180847,0.048276789486408234,0.10043997317552567,0.09197796136140823,0.15071521699428558,0.0,0.0,Spine,SP2,S82020_MobiView_SURVEY_SAG_20260303133117_202,2.317
